channel_type,subscribers,subscribers_30_days,views,views_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,max_yearly_earnings
Animals,19533333.333333332,766666.6666666666,14711751867.0,707347666.6666666,176566.66666666666,2833333.3333333335,2133333.3333333335,33900000.0,65500000.0
Comedy,18662500.0,666666.6666666666,10786694438.1875,244401812.5,59876.5625,957631.25,720643.75,11499925.0,50200000.0
Education,32650000.0,278571.4285714286,21481371281.77778,238112500.0,59538.88888888889,953866.6666666666,711822.2222222222,11430861.111111112,94800000.0
Entertainment,23834259.259259257,500000.14492753625,10659855547.675926,216923544.04761904,35744.13888888889,570857.6766666666,428256.2227777778,6862017.601481481,110600000.0
Film,24372727.272727273,237628.75,15202464047.818182,191118273.27272728,30548.18363636364,486827.29545454547,365109.10818181816,5858573.0,32200000.0
Games,24842307.692307692,246666.73333333334,8786097439.961538,124456956.13636364,26326.923461538463,424288.46692307695,313407.69653846155,5047000.060769231,39100000.0
Howto,16591666.666666666,100000.0,5250066925.833333,39846083.333333336,9961.333333333334,159366.66666666666,119533.33333333333,1918075.0,5100000.0
Music,23611111.111111112,169784.78260869565,13454942589.580246,112879959.49382716,28221.395308641975,451476.23950617283,338286.8185185185,5420539.62962963,25400000.0
News,16566666.666666666,100000.0,13151101164.0,124243743.0,31068.0,496955.0,372716.3333333333,5966926.333333333,9000000.0
Nonprofit,38600000.0,100000.0,7339333120.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,2200000.0
People,16450000.0,347582.15789473685,8742193376.583334,189233950.73913044,44904.58583333334,716922.3329166666,539786.5308333334,8619204.416666666,57800000.0
Sports,36600000.0,180000.2,19947643557.833332,182120667.16666666,45550.0,735400.0016666666,539050.0016666666,8750000.023333333,34300000.0
Tech,20550000.0,125000.0,2708109574.5,50170000.0,12550.0,200675.0,150525.0,2408950.0,4300000.0
