State,Severity,Quarter,Count
AL,1,1,23
AL,1,2,91
AL,2,1,3234
AL,2,2,2863
AL,2,3,2835
AL,2,4,6938
AL,3,1,1064
AL,3,2,896
AL,3,3,973
AL,3,4,983
AL,4,1,39
AL,4,2,47
AL,4,3,41
AL,4,4,158
AR,1,1,2
AR,1,2,9
AR,2,1,70
AR,2,2,81
AR,2,3,338
AR,2,4,2216
AR,3,1,22
AR,3,2,27
AR,3,3,25
AR,3,4,17
AR,4,1,29
AR,4,2,23
AR,4,3,44
AR,4,4,187
AZ,1,1,1035
AZ,1,2,5651
AZ,1,3,15
AZ,1,4,1
AZ,2,1,4080
AZ,2,2,3766
AZ,2,3,2987
AZ,2,4,9042
AZ,3,1,658
AZ,3,2,519
AZ,3,3,452
AZ,3,4,596
AZ,4,1,208
AZ,4,2,347
AZ,4,3,46
AZ,4,4,132
CA,1,1,972
CA,1,2,4579
CA,1,3,8
CA,1,4,3
CA,2,1,76849
CA,2,2,54583
CA,2,3,18921
CA,2,4,101293
CA,3,1,7357
CA,3,2,7278
CA,3,3,5366
CA,3,4,5846
CA,4,1,569
CA,4,2,1511
CA,4,3,107
CA,4,4,290
CO,1,1,100
CO,1,2,415
CO,1,3,1
CO,2,1,2011
CO,2,2,2272
CO,2,3,1070
CO,2,4,1348
CO,3,1,1910
CO,3,2,2284
CO,3,3,857
CO,3,4,808
CO,4,1,231
CO,4,2,392
CO,4,3,52
CO,4,4,138
CT,1,1,1
CT,1,2,4
CT,2,1,984
CT,2,2,372
CT,2,3,966
CT,2,4,4091
CT,3,1,498
CT,3,2,683
CT,3,3,432
CT,3,4,521
CT,4,1,244
CT,4,2,321
CT,4,3,61
CT,4,4,163
DC,1,1,7
DC,1,2,35
DC,1,4,1
DC,2,1,147
DC,2,2,463
DC,2,3,287
DC,2,4,1137
DC,3,1,64
DC,3,2,167
DC,3,3,10
DC,3,4,9
DC,4,1,43
DC,4,2,241
DC,4,4,21
DE,1,2,7
DE,1,3,1
DE,2,1,445
DE,2,2,386
DE,2,3,412
DE,2,4,674
DE,3,1,72
DE,3,2,157
DE,3,3,17
DE,3,4,16
DE,4,1,50
DE,4,2,188
DE,4,3,9
DE,4,4,44
FL,1,1,581
FL,1,2,2364
FL,1,3,5
FL,1,4,1
FL,2,1,10527
FL,2,2,10365
FL,2,3,17389
FL,2,4,71339
FL,3,1,4435
FL,3,2,4500
FL,3,3,3375
FL,3,4,3250
FL,4,1,755
FL,4,2,741
FL,4,3,223
FL,4,4,512
GA,1,1,58
GA,1,2,321
GA,1,3,2
GA,2,1,1958
GA,2,2,2364
GA,2,3,2057
GA,2,4,6703
GA,3,1,2347
GA,3,2,2098
GA,3,3,2015
GA,3,4,1759
GA,4,1,510
GA,4,2,342
GA,4,3,269
GA,4,4,624
IA,1,2,3
IA,2,1,270
IA,2,2,139
IA,2,3,303
IA,2,4,1589
IA,3,1,304
IA,3,2,330
IA,3,3,188
IA,3,4,205
IA,4,1,63
IA,4,2,21
IA,4,3,25
IA,4,4,209
ID,2,1,122
ID,2,2,101
ID,2,3,155
ID,2,4,1793
ID,3,1,11
ID,3,2,7
ID,3,3,2
ID,3,4,4
ID,4,1,41
ID,4,2,7
ID,4,3,6
ID,4,4,70
IL,1,1,5
IL,1,2,245
IL,1,4,2
IL,2,1,2818
IL,2,2,1682
IL,2,3,1813
IL,2,4,3557
IL,3,1,1994
IL,3,2,5964
IL,3,3,2030
IL,3,4,4228
IL,4,1,172
IL,4,2,435
IL,4,3,27
IL,4,4,35
IN,1,1,7
IN,1,2,36
IN,2,1,624
IN,2,2,601
IN,2,3,569
IN,2,4,2220
IN,3,1,813
IN,3,2,1323
IN,3,3,496
IN,3,4,565
IN,4,1,117
IN,4,2,195
IN,4,3,59
IN,4,4,181
KS,1,2,5
KS,2,1,118
KS,2,2,191
KS,2,3,189
KS,2,4,935
KS,3,1,259
KS,3,2,442
KS,3,3,209
KS,3,4,204
KS,4,1,18
KS,4,2,19
KS,4,3,4
KS,4,4,51
KY,1,1,6
KY,1,2,27
KY,1,4,1
KY,2,1,1073
KY,2,2,1418
KY,2,3,478
KY,2,4,945
KY,3,1,445
KY,3,2,373
KY,3,3,329
KY,3,4,326
KY,4,1,48
KY,4,2,41
KY,4,3,21
KY,4,4,37
LA,1,1,177
LA,1,2,1068
LA,1,3,3
LA,2,1,2999
LA,2,2,2423
LA,2,3,3785
LA,2,4,11999
LA,3,1,872
LA,3,2,1168
LA,3,3,701
LA,3,4,691
LA,4,1,143
LA,4,2,185
LA,4,3,36
LA,4,4,92
MA,1,1,18
MA,1,2,151
MA,2,1,1855
MA,2,2,1693
MA,2,3,1798
MA,2,4,2455
MA,3,1,797
MA,3,2,1389
MA,3,3,391
MA,3,4,386
MA,4,1,30
MA,4,2,107
MA,4,3,5
MA,4,4,26
MD,1,1,54
MD,1,2,218
MD,1,4,3
MD,2,1,1733
MD,2,2,4041
MD,2,3,2151
MD,2,4,9993
MD,3,1,996
MD,3,2,2024
MD,3,3,585
MD,3,4,554
MD,4,1,417
MD,4,2,790
MD,4,3,124
MD,4,4,668
ME,2,1,102
ME,2,2,64
ME,2,3,5
ME,2,4,45
ME,3,1,3
ME,3,2,4
ME,3,3,1
ME,3,4,49
ME,4,1,5
ME,4,4,3
MI,1,1,5
MI,1,2,23
MI,1,3,1
MI,1,4,3
MI,2,1,2490
MI,2,2,1992
MI,2,3,1685
MI,2,4,5067
MI,3,1,1213
MI,3,2,974
MI,3,3,779
MI,3,4,713
MI,4,1,309
MI,4,2,295
MI,4,3,47
MI,4,4,167
MN,1,1,10
MN,1,2,22
MN,1,3,1
MN,2,1,11442
MN,2,2,5143
MN,2,3,2880
MN,2,4,16251
MN,3,1,950
MN,3,2,1522
MN,3,3,499
MN,3,4,298
MN,4,1,25
MN,4,2,90
MN,4,3,6
MN,4,4,54
MO,1,1,10
MO,1,2,53
MO,1,3,1
MO,2,1,599
MO,2,2,794
MO,2,3,686
MO,2,4,3065
MO,3,1,1187
MO,3,2,1740
MO,3,3,933
MO,3,4,926
MO,4,1,88
MO,4,2,164
MO,4,3,41
MO,4,4,85
MS,1,2,4
MS,2,1,216
MS,2,2,108
MS,2,3,206
MS,2,4,867
MS,3,1,150
MS,3,2,114
MS,3,3,167
MS,3,4,99
MS,4,1,24
MS,4,2,11
MS,4,3,18
MS,4,4,35
MT,2,1,1
MT,2,2,2
MT,2,3,119
MT,2,4,2310
MT,3,1,5
MT,3,2,1
MT,4,1,1
MT,4,4,11
NC,1,1,543
NC,1,2,1244
NC,1,3,7
NC,1,4,12
NC,2,1,7980
NC,2,2,9819
NC,2,3,5879
NC,2,4,16921
NC,3,1,1217
NC,3,2,1993
NC,3,3,884
NC,3,4,728
NC,4,1,221
NC,4,2,505
NC,4,3,116
NC,4,4,564
ND,2,3,4
ND,2,4,394
ND,3,2,1
NE,1,1,3
NE,1,2,23
NE,2,1,691
NE,2,2,453
NE,2,3,348
NE,2,4,504
NE,3,1,89
NE,3,2,178
NE,3,3,69
NE,3,4,55
NE,4,1,4
NE,4,2,28
NE,4,3,7
NE,4,4,41
NH,1,1,1
NH,1,2,1
NH,2,1,408
NH,2,2,280
NH,2,3,169
NH,2,4,233
NH,3,1,121
NH,3,2,91
NH,3,3,71
NH,3,4,90
NH,4,1,7
NH,4,2,11
NH,4,3,2
NH,4,4,11
NJ,1,1,9
NJ,1,2,65
NJ,1,4,1
NJ,2,1,3862
NJ,2,2,2044
NJ,2,3,1777
NJ,2,4,6381
NJ,3,1,736
NJ,3,2,1404
NJ,3,3,493
NJ,3,4,574
NJ,4,1,315
NJ,4,2,699
NJ,4,3,54
NJ,4,4,176
NM,1,1,4
NM,1,2,45
NM,2,1,150
NM,2,2,95
NM,2,3,182
NM,2,4,567
NM,3,1,114
NM,3,2,61
NM,3,3,72
NM,3,4,63
NM,4,1,6
NM,4,2,29
NM,4,3,6
NM,4,4,42
NV,1,2,2
NV,1,4,1
NV,2,1,438
NV,2,2,518
NV,2,3,485
NV,2,4,655
NV,3,1,106
NV,3,2,53
NV,3,3,85
NV,3,4,61
NV,4,1,20
NV,4,2,5
NV,4,3,4
NV,4,4,9
NY,1,1,68
NY,1,2,638
NY,1,3,3
NY,1,4,4
NY,2,1,6077
NY,2,2,7627
NY,2,3,4988
NY,2,4,16923
NY,3,1,2555
NY,3,2,4390
NY,3,3,1735
NY,3,4,1693
NY,4,1,434
NY,4,2,1286
NY,4,3,97
NY,4,4,287
OH,1,1,50
OH,1,2,460
OH,1,3,5
OH,2,1,2451
OH,2,2,4851
OH,2,3,1543
OH,2,4,3365
OH,3,1,959
OH,3,2,889
OH,3,3,722
OH,3,4,1230
OH,4,1,166
OH,4,2,452
OH,4,3,50
OH,4,4,47
OK,1,1,3
OK,1,2,54
OK,1,3,1
OK,1,4,1
OK,2,1,3013
OK,2,2,4403
OK,2,3,2420
OK,2,4,2078
OK,3,1,366
OK,3,2,856
OK,3,3,219
OK,3,4,139
OK,4,1,18
OK,4,2,11
OK,4,3,5
OK,4,4,3
OR,1,1,152
OR,1,2,1111
OR,1,3,5
OR,1,4,1
OR,2,1,9205
OR,2,2,7076
OR,2,3,1790
OR,2,4,12091
OR,3,1,605
OR,3,2,547
OR,3,3,190
OR,3,4,218
OR,4,1,229
OR,4,2,443
OR,4,3,623
OR,4,4,166
PA,1,1,38
PA,1,2,144
PA,1,4,1
PA,2,1,4204
PA,2,2,6759
PA,2,3,4244
PA,2,4,19665
PA,3,1,1432
PA,3,2,2843
PA,3,3,906
PA,3,4,928
PA,4,1,254
PA,4,2,759
PA,4,3,128
PA,4,4,884
RI,1,1,9
RI,1,2,62
RI,2,1,283
RI,2,2,321
RI,2,3,293
RI,2,4,405
RI,3,1,272
RI,3,2,313
RI,3,3,219
RI,3,4,196
RI,4,1,3
RI,4,2,10
RI,4,3,1
SC,1,1,11
SC,1,2,65
SC,1,4,9
SC,2,1,11677
SC,2,2,11363
SC,2,3,10477
SC,2,4,23250
SC,3,1,1867
SC,3,2,1386
SC,3,3,1098
SC,3,4,920
SC,4,1,149
SC,4,2,77
SC,4,3,103
SC,4,4,337
SD,2,3,90
SD,2,4,64
SD,4,1,1
SD,4,4,5
TN,1,1,213
TN,1,2,1226
TN,1,3,9
TN,2,1,3241
TN,2,2,4175
TN,2,3,4775
TN,2,4,9736
TN,3,1,1310
TN,3,2,1228
TN,3,3,1082
TN,3,4,1056
TN,4,1,99
TN,4,2,126
TN,4,3,62
TN,4,4,125
TX,1,1,143
TX,1,2,808
TX,1,3,5
TX,1,4,4
TX,2,1,10977
TX,2,2,7845
TX,2,3,8296
TX,2,4,26728
TX,3,1,5238
TX,3,2,4972
TX,3,3,3283
TX,3,4,3674
TX,4,1,352
TX,4,2,909
TX,4,3,78
TX,4,4,176
UT,1,1,65
UT,1,2,328
UT,1,4,1
UT,2,1,5047
UT,2,2,3687
UT,2,3,1118
UT,2,4,3653
UT,3,1,560
UT,3,2,519
UT,3,3,488
UT,3,4,533
UT,4,1,73
UT,4,2,85
UT,4,3,13
UT,4,4,22
VA,1,1,303
VA,1,2,1409
VA,1,3,6
VA,1,4,2
VA,2,1,3227
VA,2,2,5859
VA,2,3,4168
VA,2,4,19226
VA,3,1,2100
VA,3,2,2340
VA,3,3,1933
VA,3,4,2010
VA,4,1,351
VA,4,2,536
VA,4,3,246
VA,4,4,1087
VT,2,1,43
VT,2,2,30
VT,2,3,16
VT,2,4,28
VT,3,1,23
VT,3,2,12
VT,3,3,15
VT,3,4,6
VT,4,1,5
VT,4,2,5
VT,4,4,3
WA,1,1,80
WA,1,2,422
WA,1,3,3
WA,2,1,1792
WA,2,2,2441
WA,2,3,1304
WA,2,4,2926
WA,3,1,1221
WA,3,2,888
WA,3,3,781
WA,3,4,882
WA,4,1,215
WA,4,2,154
WA,4,3,27
WA,4,4,75
WI,1,2,32
WI,2,1,630
WI,2,2,511
WI,2,3,337
WI,2,4,400
WI,3,1,374
WI,3,2,743
WI,3,3,311
WI,3,4,321
WI,4,1,149
WI,4,2,99
WI,4,3,12
WI,4,4,14
WV,1,2,1
WV,2,1,31
WV,2,2,5
WV,2,3,96
WV,2,4,904
WV,3,1,12
WV,3,2,25
WV,3,3,6
WV,3,4,4
WV,4,1,18
WV,4,2,15
WV,4,3,19
WV,4,4,35
WY,2,1,2
WY,2,2,2
WY,2,3,1
WY,2,4,3
WY,3,1,2
WY,3,3,2
WY,3,4,1
WY,4,1,4
WY,4,2,6
WY,4,3,1
WY,4,4,5
